# project_type_id	status	source_doc_path	target_manifest_path	setup_command	run_command	visible_result	creator_local_review	required_tests	user_simulation	feedback_surfaces	performance_monitoring	acceptance_metrics	change_impact_measurement	telemetry_export	failure_repair_loop	evidence_artifacts	exemption_state	audit_link	gap_link
web-application	required	docs/operations/result-loop-contract-plan.md	scripts/enforcement/result-loop-requirements.tsv	install dependencies and seed demo data with the selected web stack	start local web app with the stack run command	local browser URL showing representative user flow	creator opens local URL and reviews current UI plus trace or screenshot evidence	unit integration Playwright browser e2e and Lighthouse CI checks	Playwright browser e2e covers happy path and at least one failure path	visual screenshot video trace console network log and test report	Lighthouse performance budget plus latency error and runtime metrics	pass fail thresholds for tests accessibility and performance budget criteria	before/after screenshot trace and performance comparison against baseline	scripts/monitoring/export-telemetry-run.sh exports metadata-only telemetry bundle to telemetry-archive	stop completion claim record failing signal fix smallest cause rerun failing check and full gate set export telemetry	test report screenshot video trace log and telemetry bundle artifact	not_exempt	docs/operations/result-loop-contract-audit-checklist.md#enforcement-implementation	none
browser-extension	required	docs/operations/result-loop-contract-plan.md	scripts/enforcement/result-loop-requirements.tsv	install extension dependencies and prepare local browser profile	load local extension in browser and run automation command	local extension UI or browser surface with representative flow	creator loads local extension in browser and reviews screenshot video console and network logs	unit integration and browser automation checks	Playwright browser automation simulates extension flow success path and failure path	screenshot video console network log trace report and extension log	browser performance latency error rate console error and runtime metrics	pass fail thresholds for browser automation console errors latency and user-flow criteria	before/after extension screenshot trace console network and latency comparison against baseline	scripts/monitoring/export-telemetry-run.sh exports metadata-only telemetry bundle to telemetry-archive	stop completion claim record failing signal fix smallest cause rerun failing extension flow and gate set export telemetry	extension screenshot video trace console network log and telemetry bundle artifact	not_exempt	docs/operations/result-loop-contract-audit-checklist.md#enforcement-implementation	none
admin-dashboard	active	docs/operations/result-loop-contract-plan.md	scripts/enforcement/result-loop-requirements.tsv	install dependencies, seed demo users/orders, configure Refine data provider against a local Postgres instance	start the Refine admin app locally against seeded data	local admin dashboard URL showing data tables, charts, and audit log for seeded records	creator opens the local admin URL and reviews data tables, bulk actions, and KPI charts	unit tests for role matrix and bulk-action handlers plus Playwright e2e for table pagination and export flows	Playwright e2e simulating Viewer/Support/Admin/SuperAdmin role flows including bulk export and impersonation	screenshot and trace of table views, export downloads, and audit log entries; console/network logs on failure	slow-query log, admin 5xx error rate, and bulk export job latency metrics	role-matrix test pass/fail criteria and export completion under a fixed time threshold	before/after comparison of table query latency and export duration against the previous baseline	scripts/monitoring/export-telemetry-run.sh exports metadata-only telemetry bundle to telemetry-archive	stop on failing role-matrix or export test, record the failing signal, fix the smallest cause, and rerun the full gate set	test report, table screenshot, export file sample, and audit log trace stored as artifacts	not_exempt	docs/operations/result-loop-contract-audit-checklist.md#scaling-manifests-to-add	none
crm-system	active	docs/operations/result-loop-contract-plan.md	scripts/enforcement/result-loop-requirements.tsv	install dependencies, seed demo contacts/deals/companies, configure Gmail/Outlook OAuth sandbox credentials	start the CRM app locally against seeded pipeline data	local CRM URL showing contact timeline, deal pipeline board, and activity reports for seeded records	creator opens the local CRM URL and reviews the pipeline board, contact timeline, and email sync status	unit tests for pipeline aggregation and email association plus Playwright e2e for the deal pipeline flow	Playwright e2e simulating rep/manager/admin role flows through contact creation, deal stage changes, and bulk import	screenshot and trace of the pipeline board, activity timeline, and CSV import report; console/network logs on failure	email sync job lag, pipeline report query time, and API p99 latency metrics	role-matrix pass/fail criteria and pipeline value aggregation accuracy threshold	before/after comparison of pipeline report query time and email sync lag against the previous baseline	scripts/monitoring/export-telemetry-run.sh exports metadata-only telemetry bundle to telemetry-archive	stop on failing pipeline or email-sync test, record the failing signal, fix the smallest cause, and rerun the full gate set	test report, pipeline board screenshot, CSV import report, and audit log trace stored as artifacts	not_exempt	docs/operations/result-loop-contract-audit-checklist.md#scaling-manifests-to-add	none
saas-platform	active	docs/operations/result-loop-contract-plan.md	scripts/enforcement/result-loop-requirements.tsv	install dependencies, run Prisma/Drizzle migrations with RLS policies, seed demo tenants and Stripe test-mode subscriptions	start the Next.js app locally against a seeded multi-tenant database	local tenant admin URL showing subscription status, usage, and billing portal for a seeded tenant	creator opens the local tenant URL and reviews subscription state, usage metering, and the Stripe billing portal	unit tests for RLS tenant isolation and subscription state machine plus Playwright e2e for signup-to-billing flow	Playwright e2e simulating tenant signup, plan upgrade/downgrade, and cancellation through the Stripe test-mode flow	screenshot and trace of the billing portal, usage dashboard, and Stripe webhook logs; console/network logs on failure	tenant isolation query latency, Stripe webhook processing time, and API error-rate metrics	tenant-isolation pass/fail test criteria and subscription-lifecycle test threshold	before/after comparison of tenant query latency and webhook processing time against the previous baseline	scripts/monitoring/export-telemetry-run.sh exports metadata-only telemetry bundle to telemetry-archive	stop on failing tenant-isolation or billing test, record the failing signal, fix the smallest cause, and rerun the full gate set	test report, billing portal screenshot, Stripe webhook trace, and audit log stored as artifacts	not_exempt	docs/operations/result-loop-contract-audit-checklist.md#scaling-manifests-to-add	none
marketplace	active	docs/operations/result-loop-contract-plan.md	scripts/enforcement/result-loop-requirements.tsv	install dependencies, seed demo listings/sellers/buyers, configure Stripe Connect test-mode accounts	start the marketplace app locally against seeded catalog and order data	local marketplace URL showing listing search, checkout flow, and seller dashboard for seeded data	creator opens the local marketplace URL and reviews listing search, checkout, and seller payout dashboard	unit tests for commission calculation and order state machine plus Playwright e2e for the checkout-to-payout flow	Playwright e2e simulating buyer checkout, seller onboarding, and dispute/refund flows through Stripe Connect test mode	screenshot and trace of checkout, seller dashboard, and dispute flow; console/network logs on failure	checkout error rate, payout failure rate, and search relevance latency metrics	commission calculation pass/fail criteria and checkout success-rate threshold	before/after comparison of checkout latency and search relevance against the previous baseline	scripts/monitoring/export-telemetry-run.sh exports metadata-only telemetry bundle to telemetry-archive	stop on failing checkout or commission test, record the failing signal, fix the smallest cause, and rerun the full gate set	test report, checkout screenshot, seller payout trace, and dispute-flow log stored as artifacts	not_exempt	docs/operations/result-loop-contract-audit-checklist.md#scaling-manifests-to-add	none
booking-system	active	docs/operations/result-loop-contract-plan.md	scripts/enforcement/result-loop-requirements.tsv	install dependencies, seed demo providers/resources/availability, configure Google Calendar OAuth sandbox and Stripe test mode	start the booking app locally against seeded availability data	local booking URL showing availability calendar, booking confirmation, and admin schedule management for seeded data	creator opens the local booking URL and reviews the availability calendar, booking flow, and reminder schedule	unit tests for the conflict-guard slot claim and booking state machine plus Playwright e2e for the booking-to-confirmation flow	Playwright e2e simulating concurrent slot booking, cancellation with refund, and calendar sync through Google Calendar test credentials	screenshot and trace of the availability calendar, booking confirmation email, and iCal export; console/network logs on failure	booking failure rate, reminder job error rate, and availability cache invalidation latency metrics	concurrent-booking conflict-guard pass/fail criteria and cancellation/refund test threshold	before/after comparison of booking conflict-guard latency and calendar sync lag against the previous baseline	scripts/monitoring/export-telemetry-run.sh exports metadata-only telemetry bundle to telemetry-archive	stop on failing conflict-guard or calendar-sync test, record the failing signal, fix the smallest cause, and rerun the full gate set	test report, availability calendar screenshot, iCal export sample, and reminder job trace stored as artifacts	not_exempt	docs/operations/result-loop-contract-audit-checklist.md#scaling-manifests-to-add	none
automation-system	active	docs/operations/result-loop-contract-plan.md	scripts/enforcement/result-loop-requirements.tsv	install dependencies, configure a local Temporal server (or n8n instance), and start a Redis-backed BullMQ queue for job execution	start the workflow orchestrator locally and trigger a sample workflow run through the Temporal Web UI or n8n editor	local Temporal Web UI or n8n canvas showing the workflow run, its steps, and current execution state	creator opens the local Temporal Web UI or n8n editor and reviews workflow execution history, step status, and retry/DLQ entries	unit tests for workflow/activity handlers plus integration tests exercising retries, timeouts, and dead-letter-queue routing	test harness triggers workflows via a simulated webhook delivery through Svix and triggered BullMQ jobs, running an end-to-end flow simulation	workflow execution trace and history screenshot, worker log, DLQ contents snapshot, and webhook delivery log report	workflow duration, retry count, queue depth/backlog, and job failure-rate latency metrics	workflow completion pass/fail threshold and maximum acceptable retry count before DLQ routing criteria	before/after comparison of workflow completion latency and retry rate against the previous baseline	scripts/monitoring/export-telemetry-run.sh exports metadata-only telemetry bundle to telemetry-archive	stop on the failing check, record the failing signal, fix the smallest cause, and rerun the full gate set	workflow execution trace, worker log, DLQ snapshot, and webhook delivery report stored as artifacts	not_exempt	docs/operations/result-loop-contract-audit-checklist.md#scaling-manifests-to-add	none
etl-elt-system	active	docs/operations/result-loop-contract-plan.md	scripts/enforcement/result-loop-requirements.tsv	install dependencies, seed a fixture source dataset, and configure a local Airflow/Dagster instance plus a dbt project against a local warehouse	trigger a local DAG or asset run (backfill or scheduled run) through Airflow or Dagster	local Airflow/Dagster UI showing the DAG or asset run graph, task status, and output dataset location	creator opens the local Airflow/Dagster UI and reviews DAG run status, task logs, and dbt test and data-docs output	dbt generic tests plus Great Expectations checkpoints validating output dataset row counts and schema	dry-run/backfill trigger against a fixture dataset, running an end-to-end test simulation of a scheduled pipeline flow	DAG run graph screenshot, task log, dbt data-docs report, and Great Expectations validation report	DAG/task runtime, row-processing throughput, and pipeline failure-rate latency metrics	data-quality pass/fail threshold (row count, schema, freshness) and DAG completion criteria	before/after comparison of pipeline runtime and data-quality check pass rate against the previous baseline	scripts/monitoring/export-telemetry-run.sh exports metadata-only telemetry bundle to telemetry-archive	stop on the failing check, record the failing signal, fix the smallest cause, and rerun the full gate set	DAG run report, dbt data-docs artifact, Great Expectations validation report, and task log stored as artifacts	not_exempt	docs/operations/result-loop-contract-audit-checklist.md#scaling-manifests-to-add	none
multi-agent-system	active	docs/operations/result-loop-contract-plan.md	scripts/enforcement/result-loop-requirements.tsv	install dependencies, configure API keys for the selected model provider, and set up a local LangGraph/AutoGen agent graph with an e2b.dev sandbox for tool execution	run the local agent graph locally against a fixture task or eval set	local LangSmith trace or console output showing agent-to-agent messages, tool calls, and the final result	creator opens the local LangSmith trace viewer or console output and reviews the agent conversation, tool calls, and final answer	eval-set tests scoring agent output against expected outcomes plus tool-call correctness checks	a fixture eval set of representative tasks is run through the agent graph as an end-to-end test simulation of real user requests	LangSmith trace export, agent conversation transcript, tool-call log, and sandbox execution output report	per-run latency, token/cost usage, and tool-call error-rate metrics	eval-set pass/fail threshold and maximum acceptable tool-call error rate criteria	before/after comparison of eval-set pass rate and latency against the previous baseline	scripts/monitoring/export-telemetry-run.sh exports metadata-only telemetry bundle to telemetry-archive	stop on the failing check, record the failing signal, fix the smallest cause, and rerun the full gate set	LangSmith trace, eval-set report, conversation transcript, and sandbox execution log stored as artifacts	not_exempt	docs/operations/result-loop-contract-audit-checklist.md#scaling-manifests-to-add	none
microservice	active	docs/operations/result-loop-contract-plan.md	scripts/enforcement/result-loop-requirements.tsv	install dependencies, start the service locally (or in a local Kubernetes cluster via kind/minikube), and configure OpenTelemetry exporters	start the service locally and expose its gRPC/HTTP health endpoint	local health/readiness endpoint response plus an OpenTelemetry trace showing a sample request path	creator calls the local health endpoint and reviews the OpenTelemetry trace and span output for a sample request	Pact consumer/provider contract tests plus integration tests for the service's gRPC/HTTP endpoints	simulated gRPC/HTTP client requests run an end-to-end test flow exercising the service's primary endpoints	OpenTelemetry trace/span export screenshot, service log, and Pact contract verification report	request latency, throughput, and error-rate metrics exported via OpenTelemetry	contract-test pass/fail threshold and latency/error-rate budget criteria	before/after comparison of request latency and error rate against the previous baseline	scripts/monitoring/export-telemetry-run.sh exports metadata-only telemetry bundle to telemetry-archive	stop on the failing check, record the failing signal, fix the smallest cause, and rerun the full gate set	Pact contract verification report, OpenTelemetry trace export, and service log stored as artifacts	not_exempt	docs/operations/result-loop-contract-audit-checklist.md#scaling-manifests-to-add	none
analytics-platform	active	docs/operations/result-loop-contract-plan.md	scripts/enforcement/result-loop-requirements.tsv	install dependencies, seed a fixture analytics dataset in a local warehouse, and configure the dbt project plus the Cube.dev semantic layer	run the dbt models and start the local BI dashboard (Superset/Grafana) against the seeded warehouse	local BI dashboard URL showing charts and reports built on the seeded analytics dataset	creator opens the local BI dashboard URL and reviews chart output, query results, and row-level-security-filtered views	dbt generic tests validating model output plus dashboard query-correctness checks against fixture data	a scripted dashboard interaction runs an end-to-end test flow simulating an analyst filtering and drilling into charts	dashboard screenshot, dbt test report, and query execution trace log	query latency, dashboard load time, and dbt model run-time metrics	dbt test pass/fail threshold and dashboard query-latency budget criteria	before/after comparison of query latency and dashboard load time against the previous baseline	scripts/monitoring/export-telemetry-run.sh exports metadata-only telemetry bundle to telemetry-archive	stop on the failing check, record the failing signal, fix the smallest cause, and rerun the full gate set	dashboard screenshot, dbt test report, and query trace stored as artifacts	not_exempt	docs/operations/result-loop-contract-audit-checklist.md#scaling-manifests-to-add	none
