bypass	gate	action	surface	target_type	fingerprint_contract	target_commit_contract	classification
EOS_BYPASS_PATTERNS	workflow	allow-write-without-pattern-evidence	PreToolUse	write-target	sha256:canonical-hook-input	exact-protected-head	action-specific
EOS_BYPASS_CONTEXT7	workflow	allow-install-without-current-docs	PreToolUse	install-command	sha256:canonical-command	exact-protected-head	action-specific
EOS_BYPASS_TASKSJSON	workflow	allow-agent-without-task-contract	PreToolUse	agent-request	sha256:canonical-hook-input	exact-protected-head	action-specific
EOS_BYPASS_ENTRY	workflow	allow-work-command-before-plan	PreToolUse	command	sha256:canonical-command	exact-protected-head	action-specific
EOS_BYPASS_FORCEPUSH	git	allow-force-push	PreToolUse	git-ref	sha256:command-ref-and-remote-head	exact-protected-head	action-specific
EOS_BYPASS_DRAFTPR	git	allow-draft-pull-request	PreToolUse	pull-request-command	sha256:canonical-command	exact-protected-head	action-specific
EOS_BYPASS_MAINPUSH	git	allow-direct-main-push	PreToolUse	git-ref	sha256:command-ref-and-remote-head	exact-protected-head	action-specific
EOS_BYPASS_CONTENTS_API	git	allow-contents-api-write	PreToolUse	api-request	sha256:canonical-command	exact-protected-head	action-specific
EOS_BYPASS_ENVFILE	connector	allow-environment-file-commit	pre-commit	staged-tree	sha256:staged-tree	exact-protected-head	action-specific
EOS_BYPASS_SECRETS	connector	allow-secret-scan-finding	pre-commit	staged-tree	sha256:staged-tree	exact-protected-head	action-specific
EOS_BYPASS_SKILLDOC	skill	allow-incomplete-skill-contract	pre-commit	staged-tree	sha256:staged-tree	exact-protected-head	action-specific
EOS_BYPASS_SKILLREG	skill	allow-unregistered-skill	pre-commit	staged-tree	sha256:staged-tree	exact-protected-head	action-specific
EOS_BYPASS_CLEANUP	quality	allow-debug-leftovers	pre-commit	staged-tree	sha256:staged-tree	exact-protected-head	action-specific
EOS_BYPASS_SEMANTIC_CLEANUP	quality	allow-semantic-cleanup-finding	pre-commit	staged-tree	sha256:staged-tree	exact-protected-head	action-specific
EOS_BYPASS_NOVERIFY	quality	allow-no-verify-token	pre-commit	staged-tree	sha256:staged-tree	exact-protected-head	action-specific
EOS_BYPASS_FIXTEST	debugging	allow-fix-without-regression-test	commit-msg	commit-message	sha256:commit-message-and-staged-tree	exact-protected-head	action-specific
EOS_BYPASS_LESSON	learning	allow-invalid-lesson-schema	pre-commit	staged-tree	sha256:staged-tree	exact-protected-head	action-specific
EOS_BYPASS_FAILSOL	learning	allow-invalid-failed-solution-schema	pre-commit	staged-tree	sha256:staged-tree	exact-protected-head	action-specific
EOS_BYPASS_LEARNING_CAPTURE	learning	allow-missing-learning-capture	pre-commit	staged-tree	sha256:staged-tree	exact-protected-head	action-specific
EOS_BYPASS_CLAUDEIGNORE	resource	allow-missing-claudeignore	hook	repository-tree	sha256:repository-tree	exact-protected-head	action-specific
EOS_BYPASS_MODELID	resource	allow-model-identifier	commit-msg	commit-message	sha256:commit-message	exact-protected-head	action-specific
EOS_BYPASS_RUN_TRACE	runtime-evidence	allow-missing-run-trace	pre-commit	staged-tree	sha256:staged-tree	exact-protected-head	action-specific
EOS_BYPASS_DOCREADME	documentation	allow-missing-directory-readme	pre-commit	staged-tree	sha256:staged-tree	exact-protected-head	action-specific
EOS_BYPASS_ROOTREADME	documentation	allow-missing-root-readme	pre-commit	repository-tree	sha256:repository-tree	exact-protected-head	action-specific
EOS_BYPASS_TBD	documentation	allow-documentation-placeholder	pre-commit	staged-tree	sha256:staged-tree	exact-protected-head	action-specific
EOS_BYPASS_DOCHYGIENE	documentation	allow-documentation-hygiene-finding	pre-commit	staged-tree	sha256:staged-tree	exact-protected-head	action-specific
EOS_BYPASS_MDSYNC	hooks	allow-policy-enforcer-sync-drift	pre-commit	staged-tree	sha256:staged-tree	exact-protected-head	action-specific
EOS_BYPASS_TESTFILES	tests	allow-code-commit-without-test-file	commit-msg	commit-message-and-staged-tree	sha256:commit-message-and-staged-tree	exact-protected-head	action-specific
