# pattern_requirement_id	status	project_type_id	source_path	target_path	usage_rule	enforcement_rule	required_evidence	exemption_state	audit_link	gap_link
admin-dashboard-patterns	active	admin-dashboard	patterns/registry.yaml	scripts/enforcement/pattern-requirements.tsv	consult relevant patterns for admin-dashboard domain logic, testing, and security	existing required-pattern gate applies	pattern read evidence or waiver	not_exempt	docs/operations/result-loop-contract-audit-checklist.md#scaling-manifests-to-add	none
crm-system-patterns	active	crm-system	patterns/registry.yaml	scripts/enforcement/pattern-requirements.tsv	consult relevant patterns for crm-system domain logic, testing, and security	existing required-pattern gate applies	pattern read evidence or waiver	not_exempt	docs/operations/result-loop-contract-audit-checklist.md#scaling-manifests-to-add	none
saas-platform-patterns	active	saas-platform	patterns/registry.yaml	scripts/enforcement/pattern-requirements.tsv	consult relevant patterns for saas-platform domain logic, testing, and security	existing required-pattern gate applies	pattern read evidence or waiver	not_exempt	docs/operations/result-loop-contract-audit-checklist.md#scaling-manifests-to-add	none
marketplace-patterns	active	marketplace	patterns/registry.yaml	scripts/enforcement/pattern-requirements.tsv	consult relevant patterns for marketplace domain logic, testing, and security	existing required-pattern gate applies	pattern read evidence or waiver	not_exempt	docs/operations/result-loop-contract-audit-checklist.md#scaling-manifests-to-add	none
booking-system-patterns	active	booking-system	patterns/registry.yaml	scripts/enforcement/pattern-requirements.tsv	consult relevant patterns for booking-system domain logic, testing, and security	existing required-pattern gate applies	pattern read evidence or waiver	not_exempt	docs/operations/result-loop-contract-audit-checklist.md#scaling-manifests-to-add	none
automation-system-patterns	active	automation-system	patterns/registry.yaml	scripts/enforcement/pattern-requirements.tsv	consult relevant patterns for automation-system domain logic, testing, and security	existing required-pattern gate applies	pattern read evidence or waiver	not_exempt	docs/operations/result-loop-contract-audit-checklist.md#scaling-manifests-to-add	none
etl-elt-system-patterns	active	etl-elt-system	patterns/registry.yaml	scripts/enforcement/pattern-requirements.tsv	consult relevant patterns for etl-elt-system domain logic, testing, and security	existing required-pattern gate applies	pattern read evidence or waiver	not_exempt	docs/operations/result-loop-contract-audit-checklist.md#scaling-manifests-to-add	none
multi-agent-system-patterns	active	multi-agent-system	patterns/registry.yaml	scripts/enforcement/pattern-requirements.tsv	consult relevant patterns for multi-agent-system domain logic, testing, and security	existing required-pattern gate applies	pattern read evidence or waiver	not_exempt	docs/operations/result-loop-contract-audit-checklist.md#scaling-manifests-to-add	none
microservice-patterns	active	microservice	patterns/registry.yaml	scripts/enforcement/pattern-requirements.tsv	consult relevant patterns for microservice domain logic, testing, and security	existing required-pattern gate applies	pattern read evidence or waiver	not_exempt	docs/operations/result-loop-contract-audit-checklist.md#scaling-manifests-to-add	none
analytics-platform-patterns	active	analytics-platform	patterns/registry.yaml	scripts/enforcement/pattern-requirements.tsv	consult relevant patterns for analytics-platform domain logic, testing, and security	existing required-pattern gate applies	pattern read evidence or waiver	not_exempt	docs/operations/result-loop-contract-audit-checklist.md#scaling-manifests-to-add	none
